Station_Id_C Year Mon Day Hour WIN_D_Avg_2mi WIN_S_Avg_2mi TEM PRE_1h
54425 2021 8 3 19 272 2.3000 21.9000 0.0000 
54425 2021 8 3 20 269 3.5000 21.5000 0.2000 
54425 2021 8 3 21 237 2.9000 21.6000 0.3000 
54425 2021 8 3 22 306 1.4000 21.1000 2.4000 
54429 2021 8 3 18 216 2.0000 25.5000 0.0000 
54429 2021 8 3 19 210 2.0000 25.4000 0.0000 
54429 2021 8 3 20 221 2.3000 25.3000 0.0000 
54429 2021 8 3 21 238 2.2000 25.1000 0.2000 
54429 2021 8 3 22 216 2.0000 25.1000 0.0000 
54430 2021 8 3 18 76 0.7000 20.8000 0.0000 
54430 2021 8 3 19 77 1.6000 21.0000 0.0000 
54430 2021 8 3 20 999017 0.1000 21.1000 0.0000 
54430 2021 8 3 21 99 0.5000 21.1000 0.3000 
54430 2021 8 3 22 30 2.8000 19.8000 6.0000 
54432 2021 8 3 18 220 4.9000 23.0000 0.0000 
54432 2021 8 3 19 228 1.7000 22.9000 0.0000 
54432 2021 8 3 20 245 1.3000 22.8000 0.0000 
54432 2021 8 3 21 280 1.1000 22.5000 0.7000 
54432 2021 8 3 22 999017 0.0000 22.3000 1.5000 
54434 2021 8 3 18 99 1.6000 23.2000 0.0000 
54434 2021 8 3 19 104 1.6000 23.2000 0.0000 
54434 2021 8 3 20 106 2.3000 23.2000 0.0000 
54434 2021 8 3 21 117 1.8000 23.1000 0.0000 
54434 2021 8 3 22 123 1.9000 23.3000 0.0000 
54436 2021 8 3 18 229 2.2000 23.2000 0.0000 
54436 2021 8 3 19 230 5.0000 23.3000 0.0000 
54436 2021 8 3 20 207 2.2000 23.2000 0.0000 
54436 2021 8 3 21 238 1.6000 23.1000 0.0000 
54436 2021 8 3 22 214 0.6000 23.0000 0.0000 
54437 2021 8 3 18 152 1.8000 23.3000 0.0000 
54437 2021 8 3 19 180 1.5000 23.1000 0.0000 
54437 2021 8 3 20 217 1.1000 23.1000 0.0000 
54437 2021 8 3 21 175 1.4000 23.1000 0.0000 
54437 2021 8 3 22 153 1.6000 23.4000 0.0000 
54438 2021 8 3 18 999017 0.2000 23.2000 0.0000 
54438 2021 8 3 19 999017 0.0000 23.3000 0.0000 
54438 2021 8 3 20 999017 0.0000 23.3000 0.0000 
54438 2021 8 3 21 124 1.0000 23.2000 0.0000 
54438 2021 8 3 22 999017 0.0000 23.0000 0.0000 
54439 2021 8 3 18 114 0.9000 23.1000 0.0000 
54439 2021 8 3 19 93 1.0000 23.2000 0.0000 
54439 2021 8 3 20 116 1.2000 23.3000 0.0000 
54439 2021 8 3 21 95 0.9000 23.1000 0.0000 
54439 2021 8 3 22 103 1.2000 23.2000 0.0000 
54449 2021 8 3 18 23 0.4000 22.2000 0.0000 
54449 2021 8 3 19 999017 0.1000 22.3000 0.0000 
54449 2021 8 3 20 340 0.4000 22.1000 0.0000 
54449 2021 8 3 21 999017 0.2000 21.9000 0.0000 
54449 2021 8 3 22 999017 0.1000 22.4000 0.0000 
